גנן גידל דגן בגן DBI DHSK SDI CDI
הי קוראים לי רועי VH EURTHO KH RUGH
בא לי נייט מתנה CT KH BHHY N,BV
איוונט תרגום יוצא לדרך THUUBY ,RDUO HUMT KSRL
האם אתם מוכנים לאיוונט VTO T,O NUFBHO KTHUUBY
גם אני משחק אמיו DO TBH NAJE TNHU
תרגמו את המשפט לעברית ,RDNU T, VNAPY KGCRH,
תן חיוך הכל לטובה ,I JHUL VFK KYUCV
חיים רק פעם אחת JHHO RE PGO TJ,
אני רוצה לזכות בנייט TBH RUMV KZFU, CBHHY
לאבא שלי יש סולם KTCT AKH HA XUKO
אני אוהב שוקולד לבן TBH TUVC AUEUKS KCI
למה לא מתחיל האיוונט KNV KT N,JHK VTHUUBY
גם אני יהודי גאה DO TBH HVUSH DTV
האיוונט שלנו יוצא לדרך VTHUUBY AKBU HUMT KSRL
איזה חג מתקרב אלינו THZV JD N,ERC TKHBU
אני רוצה לזכות באיוונט TBH RUMV KZFU, CTHUUBY
מי רוצה נייט מתנה NH RUMV BHHY N,BV
יאיר תרום לי נייט HTHR ,RUN KH BHHY
איונט קשה ענו מהר THUBY EAV GBU NVR
אני אוהב את יאיר TBH TUVC T, HTHR
אני אוהב את האמיו TBH TUVC T, VTNHU
לילה טוב אמיו ישראל KHKV YUC TNHU HARTK
בוקר טוב אמיו ישראל CUER YUC TNHU HARTK
אני אוהב לשחק אמיו TBH TUVC KAJE TNHU 
אמיו ישראל הכי טוב TNHU HARTK VFH YUC
אמיו ישראל המצליח ביותר TNHU HARTK VNMKHJ CHU,R
שרה שרה שיר שמח ARV ARV AHR ANJ
איזה אוונט קשה זה THZV TUUBY EAV ZV
מישהו יכול לעזור לי NHAVU HFUK KGZUR KH
מישהו יודע לרשום באנגלית ,NHAVU HUSG KRAUO CTBDKH
אמיו ישראל האמיו שלכם TNHU HARTK VTNHU AKFO
איזה סטים יש היום THZV XYHO HA VHUO
בוקר טוב לכל האמיו CUER YUC KFK VTNHU
אמיו מספר אחת בעולם TNHU NXPR TJ, CGUKO
רועי משחק בגן הילדים RUGH NAJE CDI VHKSHO 
רולנדה סטייל שליטה לעד RUKBSV XYHHK AKHYV KGS
רועי ויאיר מנהלי המשחק RUGH UHTHR NBVKH VNAJE
מנהלי המשחק מחוברים עכשיו NBVKH VNAJE NJUCRHO GFAHU
אני משחק באמיו ישראל TBH NAJE CTNHU HARTK
חזיר ופיל הם חיות JZHR UPHK VO JHU,
יש פקחים ומנהלי משחק HA PEJHO UNBVKH NAJE
אני בטח עונה ראשון TBH CYJ GUBV RTAUI
אני אוהב לאכול שניצל TBH TUVC KTFUK ABHMK
אם שותים לא נוהגים TO AUHO KT BUVDHO
נוב תמיד ישאר נוב BUC NHS HATR BUC
אנשים טובים תמיד מנצחים TBAHO YUCHO NHS NBMJHO
מי שמאמין לא מפחד NH ANTNHI KT NPJS
שבת שלום אמיו ישראל AC, AKUO TNHU HARTK
אני אוהב לעשות קופה TBH TUVC KGAU, EUPV
שלום לשחקני אמיו ישראל AKUO KAJEBH TNHU HARTK
מה מקבלים מהאיוונט הזה NV NECKHO NVTHUUBY VZV
אני אוהב לצחצח שיניים TBH TUVC KMJMJ AHBHHO
אני אוהב לשחק אמיו TBH TUVC KAJE TNHU
אני רוצה לזכות באיוונט TBH RUMV KZFU, CTHUUBY
אם אני מי לי TO TBH NH KH
